City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,amga,60.8953,131.9608,-0.62,84,82,1.26,RU,1715537580
1,college,64.8569,-147.8028,9.18,49,75,1.54,US,1715537580
2,bethel,41.3712,-73.414,14.0,70,100,0.45,US,1715537331
3,bereeda,11.8704,51.0579,30.41,65,47,3.83,SO,1715537581
4,port-aux-francais,-49.35,70.2167,3.16,86,96,15.08,TF,1715537581
5,grytviken,-54.2811,-36.5092,1.01,89,77,6.49,GS,1715537581
6,weno,7.4515,151.8468,28.97,89,100,3.6,FM,1715537581
7,ashburton,-37.8626,145.0794,12.99,90,96,0.89,AU,1715537582
8,bay roberts,47.5999,-53.2648,10.36,97,100,5.39,CA,1715537380
9,fale old settlement,-9.3852,-171.2468,29.14,75,98,6.24,TK,1715537582
10,stanley,54.868,-1.6985,19.77,78,99,4.12,GB,1715537582
11,ancud,-41.8697,-73.8203,8.59,62,32,2.08,CL,1715537583
12,ploneour-lanvern,47.9,-4.2833,15.18,88,100,3.09,FR,1715537583
13,cambria,35.5641,-121.0808,27.53,73,34,1.93,US,1715537583
14,ilulissat,69.2167,-51.1,7.01,57,100,7.2,GL,1715537583
15,isafjordur,66.0755,-23.124,5.02,75,75,6.17,IS,1715537584
16,zaoyang,32.1272,112.7542,18.48,56,57,3.59,CN,1715537584
17,happy valley-goose bay,53.3168,-60.3315,19.17,27,75,6.17,CA,1715537584
18,waitangi,-43.9535,-176.5597,11.01,91,89,2.24,NZ,1715537584
19,bom jardim,-7.7958,-35.5872,31.69,36,38,4.88,BR,1715537585
20,albany,42.6001,-73.9662,14.69,70,100,0.45,US,1715537480
21,tidjikja,18.5564,-11.4271,40.19,9,86,4.77,MR,1715537585
22,nuuk,64.1835,-51.7216,2.34,80,75,11.32,GL,1715537585
23,adamstown,-25.066,-130.1015,20.25,65,0,3.5,PN,1715537585
24,yellowknife,62.456,-114.3525,6.9,65,15,4.92,CA,1715537386
25,invercargill,-46.4,168.35,8.9,92,99,0.89,NZ,1715537586
26,hammerfest,70.6634,23.6821,4.25,81,75,2.06,NO,1715537586
27,udachny,66.4167,112.4,-3.64,87,100,1.95,RU,1715537586
28,kalmunai,7.4167,81.8167,27.6,82,88,2.91,LK,1715537586
29,inirida,3.8653,-67.9239,26.02,88,99,1.59,CO,1715537587
30,iqaluit,63.7506,-68.5145,-7.39,62,100,5.36,CA,1715537348
31,karratha,-20.7377,116.8463,23.58,78,13,0.76,AU,1715537588
32,lihue,21.9789,-159.3672,25.58,92,75,2.57,US,1715537588
33,puerto natales,-51.7236,-72.4875,4.25,70,20,1.54,CL,1715537588
34,hithadhoo,-0.6,73.0833,29.49,73,84,3.81,MV,1715537588
35,blackmans bay,-43.0167,147.3167,10.96,86,99,0.45,AU,1715537588
36,mokrous,51.2333,47.5167,4.31,86,100,8.81,RU,1715537589
37,bilibino,68.0546,166.4372,-2.79,88,99,0.76,RU,1715537589
38,charlotte amalie,18.3419,-64.9307,29.82,74,0,3.64,VI,1715537542
39,uturoa,-16.7333,-151.4333,27.41,77,6,6.62,PF,1715537296
40,ushuaia,-54.8,-68.3,2.52,76,21,1.92,AR,1715537474
41,faya-largeau,17.9257,19.1043,34.11,13,3,6.53,TD,1715537590
42,dudinka,69.4058,86.1778,-2.69,96,81,5.22,RU,1715537591
43,alice springs,-23.7,133.8833,5.75,81,68,1.54,AU,1715537591
44,jamestown,42.097,-79.2353,14.45,74,100,2.57,US,1715537579
45,kingston,17.997,-76.7936,32.87,74,40,6.69,JM,1715537491
46,margaret river,-33.95,115.0667,16.4,84,100,3.55,AU,1715537591
47,fort bragg,35.139,-79.006,26.62,30,20,7.72,US,1715537591
48,margate,51.3813,1.3862,19.94,76,78,0.98,GB,1715537554
49,coquimbo,-29.9533,-71.3436,15.85,63,0,4.63,CL,1715536997
50,st. john's,47.5649,-52.7093,10.15,97,100,8.23,CA,1715537313
51,nayagarh,20.1333,85.1,28.92,71,54,1.88,IN,1715537593
52,puerto ayora,-0.7393,-90.3518,27.98,75,75,4.23,EC,1715537593
53,afaahiti,-17.75,-149.2833,25.93,84,60,6.26,PF,1715537593
54,onguday,50.75,86.15,9.74,87,98,0.33,RU,1715537593
55,bakhmach,51.1808,32.7569,5.3,68,100,2.56,UA,1715537594
56,inongo,-1.95,18.2667,27.98,66,88,0.71,CD,1715537594
57,port mathurin,-19.6833,63.4167,25.41,74,57,8.97,MU,1715537594
58,wailua homesteads,22.0669,-159.378,25.24,93,75,2.57,US,1715537594
59,mizdah,31.4451,12.9801,26.08,23,100,1.95,LY,1715537595
60,sur,22.5667,59.5289,32.2,49,23,5.12,OM,1715537595
61,newman,37.3138,-121.0208,28.13,44,0,1.79,US,1715537365
62,queenstown,-31.8976,26.8753,9.53,71,0,2.68,ZA,1715537595
63,bodaybo,57.8506,114.1933,1.68,93,73,1.76,RU,1715537596
64,nar'yan-mar,67.6713,53.087,-4.94,95,100,4.02,RU,1715537596
65,khandyga,62.6667,135.6,-0.45,94,95,0.77,RU,1715537540
66,smithers,54.7804,-127.1743,12.18,50,100,1.54,CA,1715537597
67,avarua,-21.2078,-159.775,24.03,78,100,2.06,CK,1715537597
68,bredasdorp,-34.5322,20.0403,12.59,86,2,3.06,ZA,1715537598
69,samitah,16.596,42.9444,35.5,42,10,1.29,SA,1715537598
70,soata,6.3337,-72.6828,16.22,73,91,2.65,CO,1715537598
71,talnakh,69.4865,88.3972,-7.16,91,68,2.98,RU,1715537599
72,kapa'a,22.0752,-159.319,25.99,93,75,2.57,US,1715537599
73,tiksi,71.6872,128.8694,-10.33,96,100,0.83,RU,1715537599
74,kuala tungkal,-0.8167,103.4667,26.0,92,100,2.33,ID,1715537599
75,port lincoln,-34.7333,135.8667,13.17,69,48,2.38,AU,1715537600
76,twon-brass,4.3151,6.2418,27.37,85,100,4.44,NG,1715537600
77,shache,38.4167,77.2406,22.45,12,100,2.37,CN,1715537600
78,mccook,40.2019,-100.6257,18.25,84,100,2.57,US,1715537483
79,thunder bay,48.4001,-89.3168,23.95,27,20,7.2,CA,1715537482
80,manismata,-2.4667,111.0333,24.3,98,100,0.57,ID,1715537601
81,qaqortoq,60.7167,-46.0333,2.59,79,7,2.92,GL,1715537601
82,edinburgh of the seven seas,-37.0676,-12.3116,15.28,91,68,6.72,SH,1715537601
83,maunabo,18.0072,-65.8993,33.9,83,8,2.55,PR,1715537602
84,yaren,-0.5472,166.916,28.96,74,100,5.67,NR,1715537602
85,ulsteinvik,62.3432,5.8487,22.5,74,98,2.48,NO,1715537602
86,enewetak,11.3474,162.3373,27.37,82,86,8.29,MH,1715537603
87,yonggwang-up,40.0183,127.4547,8.64,59,0,3.1,KP,1715537603
88,gadzhiyevo,69.2551,33.3362,1.23,99,100,1.22,RU,1715537603
89,papatowai,-46.5619,169.4708,9.4,86,98,3.68,NZ,1715537603
90,atafu village,-8.5421,-172.5159,29.14,76,38,6.92,TK,1715537604
91,olonkinbyen,70.9221,-8.7187,0.83,100,100,4.51,SJ,1715537604
92,cabo san lucas,22.8909,-109.9124,30.61,47,20,3.09,MX,1715537308
93,bereznik,62.8551,42.7072,-3.75,96,76,1.99,RU,1715537605
94,saint-pierre,-21.3393,55.4781,24.82,73,0,7.2,RE,1715537605
95,wanning,18.8003,110.3967,25.21,90,56,1.57,CN,1715537512
96,monywa,22.1167,95.1333,33.17,43,71,1.6,MM,1715537605
97,hawaiian paradise park,19.5933,-154.9731,21.61,97,100,4.12,US,1715537606
98,serres,41.0856,23.5497,19.09,58,68,1.96,GR,1715537606
99,chonchi,-42.6128,-73.8092,8.56,72,70,1.45,CL,1715537606
100,bridgewater,44.3835,-64.5155,12.04,70,92,0.89,CA,1715537382
101,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,7.2,EC,1715537396
102,dryden,49.7833,-92.7503,14.16,41,100,7.2,CA,1715537608
103,ribeira grande,38.5167,-28.7,20.99,83,40,5.81,PT,1715537608
104,vorgashor,67.5833,63.95,-8.44,95,42,4.56,RU,1715537608
105,shingu,33.7333,135.9833,19.76,97,100,4.38,JP,1715537608
106,ust'-ilimsk,58.0006,102.6619,5.24,57,18,1.79,RU,1715537608
107,usinsk,65.9939,57.5281,-1.07,87,100,4.47,RU,1715537609
108,rio grande,-32.035,-52.0986,18.06,93,100,9.26,BR,1715537496
109,vostochnyy,55.8167,37.8667,5.06,43,92,2.68,RU,1715537609
110,tazovsky,67.4667,78.7,-0.76,89,100,3.0,RU,1715537609
111,grande prairie,55.1667,-118.8027,18.1,32,40,7.2,CA,1715537609
112,elliot lake,46.3834,-82.6331,6.91,97,99,2.31,CA,1715537381
113,punta arenas,-53.15,-70.9167,6.06,45,0,5.66,CL,1715537460
114,paita,-5.0892,-81.1144,23.25,69,81,5.74,PE,1715537610
115,lohr am main,49.9936,9.5783,21.79,73,40,3.4,DE,1715537610
